Time,Distance,PID
4907.194,-4.0,0.0
4907.195,-4.0,0.0
4907.196,-4.0,0.0
4907.197,-4.0,0.0
4907.198,-4.0,0.0
4907.199,-4.0,0.0
4907.199,-4.0,0.0
4907.2,-4.0,0.0
4907.201,-4.0,0.0
4907.206,-4.0,0.0
4907.207,-4.0,0.0
4907.208,-4.0,0.0
4907.208,-4.0,0.0
4907.209,-4.0,0.0
4907.21,-4.0,0.0
4907.211,-4.0,0.0
4907.216,-4.0,0.0
4907.218,-4.0,0.0
4907.219,-4.0,0.0
4907.22,-4.0,0.0
4907.223,-4.0,0.0
4907.224,-4.0,0.0
4907.225,-4.0,0.0
4907.227,-4.0,0.0
4907.228,-4.0,0.0
4907.232,-4.0,0.0
4907.233,-4.0,0.0
4907.234,-4.0,0.0
4907.236,-4.0,0.0
4907.242,-4.0,0.0
4907.244,-4.0,0.0
4907.245,-4.0,0.0
4907.248,-3.0,52.0
4907.251,-7.0,-60.0
4907.26,-7.0,0.0
4907.271,-7.0,0.0
4907.272,-7.0,0.0
4907.273,-7.0,0.0
4907.274,-7.0,0.0
4907.274,-7.0,0.0
4907.275,-7.0,0.0
4907.276,-7.0,0.0
4907.277,-7.0,0.0
4907.278,-7.0,0.0
4907.279,-7.0,0.0
4907.28,-7.0,0.0
4907.281,-7.0,0.0
4907.282,-7.0,0.0
4907.283,-7.0,0.0
4907.283,-7.0,0.0
4907.284,-7.0,0.0
4907.285,-7.0,0.0
4907.291,-7.0,0.0
4907.292,-7.0,0.0
4907.292,-7.0,0.0
4907.293,-7.0,0.0
4907.294,-7.0,0.0
4907.295,-7.0,0.0
4907.3,-7.0,0.0
4907.3,-7.0,0.0
4907.301,-8.0,-58.0
4907.302,-8.0,0.0
4907.308,-8.0,0.0
4907.308,-8.0,0.0
4907.309,-8.0,0.0
4907.31,-8.0,0.0
4907.311,-8.0,0.0
4907.311,-8.0,0.0
4907.315,-8.0,0.0
4907.316,-8.0,0.0
4907.318,-8.0,0.0
4907.319,-8.0,0.0
4907.322,-8.0,0.0
4907.324,-8.0,0.0
4907.325,-8.0,0.0
4907.327,-8.0,0.0
4907.328,-8.0,0.0
4907.329,-8.0,0.0
4907.331,-8.0,0.0
4907.332,-8.0,0.0
4907.334,-8.0,0.0
4907.336,-8.0,0.0
4907.337,-8.0,0.0
4907.339,-8.0,0.0
4907.34,-8.0,0.0
4907.346,-8.0,0.0
4907.347,-8.0,0.0
4907.348,-8.0,0.0
4907.35,-8.0,0.0
4907.356,-6.0,52.0
4907.357,-6.0,0.0
4907.368,-6.0,0.0
4907.371,-6.0,0.0
4907.372,-6.0,0.0
4907.373,-6.0,0.0
4907.373,-6.0,0.0
4907.374,-6.0,0.0
4907.375,-6.0,0.0
4907.376,-6.0,0.0
4907.379,-6.0,0.0
4907.379,-6.0,0.0
4907.38,-6.0,0.0
4907.381,-6.0,0.0
4907.382,-6.0,0.0
4907.383,-6.0,0.0
4907.383,-6.0,0.0
4907.384,-6.0,0.0
4907.385,-6.0,0.0
4907.386,-6.0,0.0
4907.387,-6.0,0.0
4907.387,-6.0,0.0
4907.388,-6.0,0.0
4907.389,-6.0,0.0
4907.39,-6.0,0.0
4907.392,-6.0,0.0
4907.392,-6.0,0.0
4907.393,-6.0,0.0
4907.394,-6.0,0.0
4907.395,-6.0,0.0
4907.396,-6.0,0.0
4907.396,-6.0,0.0
4907.397,-6.0,0.0
4907.402,-6.0,0.0
4907.403,-6.0,0.0
4907.404,-6.0,0.0
4907.404,-6.0,0.0
4907.405,-6.0,0.0
4907.406,-6.0,0.0
4907.407,-6.0,0.0
4907.409,-6.0,0.0
4907.409,-6.0,0.0
4907.411,-6.0,0.0
4907.412,-6.0,0.0
4907.413,-6.0,0.0
4907.417,-6.0,0.0
4907.418,-6.0,0.0
4907.42,-6.0,0.0
4907.421,-6.0,0.0
4907.424,-6.0,0.0
4907.426,-6.0,0.0
4907.427,-6.0,0.0
4907.429,-6.0,0.0
4907.43,-6.0,0.0
4907.431,-6.0,0.0
4907.433,-6.0,0.0
4907.434,-6.0,0.0
4907.436,-6.0,0.0
4907.438,-6.0,0.0
4907.439,-6.0,0.0
4907.441,-6.0,0.0
4907.442,-6.0,0.0
4907.448,-6.0,0.0
4907.449,-6.0,0.0
4907.45,-6.0,0.0
4907.453,-4.0,55.0
4907.458,-4.0,0.0
4907.459,-4.0,0.0
4907.46,-4.0,0.0
4907.461,-4.0,0.0
4907.461,-4.0,0.0
4907.462,-4.0,0.0
4907.463,-4.0,0.0
4907.465,-4.0,0.0
4907.466,-4.0,0.0
4907.466,-4.0,0.0
4907.467,-4.0,0.0
4907.468,-4.0,0.0
4907.469,-4.0,0.0
4907.47,-4.0,0.0
4907.472,-4.0,0.0
4907.473,-4.0,0.0
4907.474,-4.0,0.0
4907.475,-4.0,0.0
4907.476,-4.0,0.0
4907.476,-4.0,0.0
4907.477,-4.0,0.0
4907.478,-4.0,0.0
4907.481,-4.0,0.0
4907.482,-4.0,0.0
4907.482,-4.0,0.0
4907.483,-4.0,0.0
4907.484,-4.0,0.0
4907.485,-4.0,0.0
4907.486,-4.0,0.0
4907.486,-4.0,0.0
4907.487,-4.0,0.0
4907.488,-4.0,0.0
4907.489,-4.0,0.0
4907.49,-4.0,0.0
4907.49,-4.0,0.0
4907.491,-4.0,0.0
4907.492,-4.0,0.0
4907.494,-4.0,0.0
4907.495,-4.0,0.0
4907.495,-4.0,0.0
4907.496,-4.0,0.0
4907.497,-4.0,0.0
4907.498,-4.0,0.0
4907.499,-4.0,0.0
4907.504,-3.0,51.0
4907.504,-3.0,0.0
4907.515,-3.0,0.0
4907.516,-3.0,0.0
4907.517,-3.0,0.0
4907.519,-3.0,0.0
4907.521,-3.0,0.0
4907.522,-3.0,0.0
4907.524,-3.0,0.0
4907.525,-3.0,0.0
4907.529,-3.0,0.0
4907.53,-3.0,0.0
4907.531,-3.0,0.0
4907.533,-3.0,0.0
4907.534,-3.0,0.0
4907.537,-3.0,0.0
4907.539,-3.0,0.0
4907.54,-3.0,0.0
4907.542,-3.0,0.0
4907.543,-3.0,0.0
4907.544,-3.0,0.0
4907.546,-3.0,0.0
4907.547,-3.0,0.0
4907.55,-3.0,0.0
4907.551,-3.0,0.0
4907.552,-3.0,0.0
4907.555,-6.0,-58.0
4907.56,-6.0,0.0
4907.561,-6.0,0.0
4907.562,-6.0,0.0
4907.563,-6.0,0.0
4907.563,-6.0,0.0
4907.564,-6.0,0.0
4907.565,-6.0,0.0
4907.567,-6.0,0.0
4907.568,-6.0,0.0
4907.568,-6.0,0.0
4907.569,-6.0,0.0
4907.57,-6.0,0.0
