2024-04-29 20:24:28,798 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 20:24:33,825 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 21:56:19,513 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 21:56:27,732 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-29 21:56:27,734 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-29 21:56:27,735 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-29 21:56:31,579 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 21:56:31,580 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 21:56:31,582 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 21:56:31,583 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 21:56:31,584 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 21:56:39,007 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 21:56:39,007 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 21:56:39,007 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 21:56:44,126 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 22:01:33,994 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 22:08:24,593 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 22:08:29,679 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 22:13:13,008 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
