339164, -0.50, 0.05, -17.08, 9.28, 18.13, 8.18, -0.64 
339201, -0.53, -0.29, -17.08, 9.28, 18.13, 7.31, -0.61 
339238, -0.26, -0.24, -17.09, 9.29, 18.12, 6.55, -0.56 
339275, -0.61, -1.14, -17.09, 9.30, 18.12, 5.83, -0.61 
339312, -25.76, -11.50, -17.09, 9.30, 18.01, 2.67, -1.70 
339349, -0.98, -0.21, -17.09, 9.29, 18.01, 2.31, -1.56 
339386, -0.68, 0.11, -17.10, 9.28, 18.01, 2.00, -1.40 
339423, -3.84, 0.11, -17.09, 9.27, 18.01, 1.42, -1.26 
339460, -0.85, -0.24, -17.09, 9.28, 18.02, 1.19, -1.15 
339497, -4.59, 0.35, -17.10, 9.29, 18.12, 0.61, -0.99 
339534, -2.08, -0.18, -17.09, 9.29, 18.16, 0.35, -0.91 
339571, -0.45, -0.59, -17.09, 9.29, 18.16, 0.26, -0.88 
339608, -0.45, 0.13, -17.10, 9.29, 18.16, 0.19, -0.78 
339645, -0.19, -0.46, -17.10, 9.29, 18.17, 0.15, -0.74 
339682, 2.71, 0.05, -17.10, 9.30, 18.52, 0.40, -0.65 
339719, -4.67, -0.85, -17.10, 9.30, 18.72, -0.10, -0.67 
339756, 0.08, -0.29, -17.10, 9.31, 18.73, -0.09, -0.63 
339793, -0.43, -0.03, -17.11, 9.32, 18.72, -0.13, -0.56 
339830, -0.32, 0.00, -17.12, 9.33, 18.73, -0.16, -0.50 
339867, -0.56, -0.11, -17.12, 9.32, 18.72, -0.20, -0.46 
339904, -0.45, 0.00, -17.13, 9.33, 18.71, -0.23, -0.40 
339941, 0.21, -0.48, -17.14, 9.34, 18.71, -0.19, -0.41 
339978, -0.40, -0.13, -17.13, 9.33, 18.72, -0.21, -0.39 
340015, -0.27, -0.40, -17.13, 9.33, 18.71, -0.21, -0.39 
340052, -0.30, -0.59, -17.14, 9.34, 18.71, -0.23, -0.40 
340089, -0.08, -0.61, -17.14, 9.35, 18.71, -0.21, -0.42 
340126, 0.11, -0.43, -17.13, 9.35, 18.71, -0.17, -0.41 
340163, -0.05, -0.87, -17.13, 9.35, 18.73, -0.16, -0.46 
340200, -0.67, -0.16, -17.14, 9.34, 18.74, -0.22, -0.44 
340237, 0.29, -0.74, -17.13, 9.34, 18.75, -0.16, -0.47 
340274, -0.24, -0.40, -17.14, 9.34, 18.75, -0.18, -0.46 
340311, 2.83, -8.10, -17.15, 9.35, 18.62, 0.11, -1.22 
340348, -21.90, -4.90, -17.14, 9.39, 18.48, -2.08, -1.55 
340385, 1.61, -5.65, -17.13, 9.38, 18.57, -1.70, -1.97 
340422, -1.50, -6.41, -17.16, 9.40, 18.60, -1.71, -2.40 
340459, 0.42, -1.38, -17.17, 9.40, 18.59, -1.50, -2.29 
